"clusterID","cluster","ids"
62,"CENPH, NUF2, CENPE, EXOC1","64946, 83540, 1062, 55763"
63,"CKAP5, MEMO1, TACC1, LSM7, THAP12, SNRPG","9793, 51072, 6867, 51690, 5612, 6637"
64,"YAP1, PTPN21, KIF1C","10413, 11099, 10749"
65,"TFCP2, E2F8","7024, 79733"
66,"RAC1, ARHGAP31","5879, 57514"
67,"CDC42, PAK6, RHOJ, TRIP10, ARHGAP44","998, 56924, 57381, 9322, 9912"
68,"CAP2, CFL2, ACTB, ACTG1, CFL1, DSTN, POT1","10486, 1073, 60, 71, 1072, 11034, 25913"
69,"NOLC1, APP, KIF2C, CRYAB, FLNA, FILIP1, SULF1, PIK3R5, PIK3CG, STXBP1, CDCA7","9221, 351, 11004, 1410, 2316, 27145, 23213, 23533, 5294, 6812, 83879"
70,"UBD, MAD2L1, SGO2","10537, 4085, 151246"
71,"AGTRAP, ALDH18A1","57085, 5832"
72,"TRIM27, FAM83A","5987, 84985"
73,"RAI2, SGTB","10742, 54557"
74,"KDM5B, FOXG1, PAX9, CBX4, TLE1","10765, 2290, 5083, 8535, 7088"
75,"VAMP5, GPX8, STX4, STX16, SNAP23, SNAP29, STX8, SNAP25","10791, 493869, 6810, 8675, 8773, 9342, 9482, 6616"
76,"C11orf58, A2M, APOE, MMP2","10944, 2, 348, 4313"
77,"COPS6, TK1, ERG28, GAPDH, PTPRK, CCDC90B, TUBB2A","10980, 7083, 11161, 2597, 5796, 60492, 7280"
78,"IGF2, IGFBP3, THBS1, IGF1, PLG, TF, ADAM12","3481, 3486, 7057, 3479, 5340, 7018, 8038"
79,"KPNA2","3838"
80,"NTAQ1","55093"
81,"UBE2C, PSMB5","11065, 5693"
82,"AURKA, AUNIP","6790, 79000"
83,"CSNK2A1","1457"
84,"FAM107A, TRIM37, KIF4A, PRC1","11170, 4591, 24137, 9055"
85,"PNMA1","9240"
86,"PKP3, JUP","11187, 3728"
87,"EXOSC8, TXNDC17, RUFY1","11340, 84817, 80230"
88,"REL","5966"
89,"MAL2, TPD52, TPD52L1, TPD52L2","114569, 7163, 7164, 7165"
90,"FBXO32, EIF3F","114907, 8665"
91,"TBC1D16, RGS17, RPL10A, NUFIP2","125058, 26575, 4736, 57532"
92,"CNTN1, PTPRB, PTPRZ1","1272, 5787, 5803"
93,"KLF6, SP1, KLF4, GATA6","1316, 6667, 9314, 2627"
94,"NFE2L2, TNNT1, ENC1, TNNC1, TNNI3","4780, 7138, 8507, 7134, 7137"
95,"MPP7, LIN7A, MPP6, MPP5","143098, 8825, 51678, 64398"
96,"CAV1, KCNA3, PTGIS, PTGS2, TRPC1","857, 3738, 5740, 5743, 7220"
97,"CCDC33, ABLIM3","80125, 22885"
98,"DVL3, STOM, TMPO","1857, 2040, 7112"
99,"TSNAX, TCF12, TCF21","7257, 6938, 6943"
100,"ADRB1, GOPC, GPRASP1, MAGI2","153, 57120, 9737, 9863"
101,"AKAP12, FHL1","9590, 2273"
102,"LRP1, LPL","4035, 4023"
103,"MARCHF10, ANLN","162333, 54443"
104,"SYNE4, CXCL9, TMPRSS4, SFTPC, CLEC7A, ENTPD3, SEC61G","163183, 4283, 56649, 6440, 64581, 956, 23480"
105,"BCL6, MTA3","604, 57504"
106,"NEB, TMOD1","4703, 7111"
107,"VIM, FABP4","7431, 2167"
108,"GRIA1, EPB41L1","2890, 2036"
109,"ADAM17, ITGB1, ITGA8","6868, 3688, 8516"
110,"DSC2, DSG2","1824, 1829"
111,"DSP, PKP2","1832, 5318"
112,"EEF1A2, TPT1, TRIP13","1917, 7178, 9319"
113,"ACTN4, ZYX, ACTN1, PDLIM1","81, 7791, 87, 9124"
114,"EPAS1, ARNTL, EGLN1, ARNTL2, ARNT2","2034, 406, 54583, 56938, 9915"
115,"FANCD2, UBE2T, FANCL","2177, 29089, 55120"
116,"FN1","2335"
117,"DNPEP, MPP1","23549, 4354"
118,"PAFAH1B3, PAFAH1B1, PAFAH1B2","5050, 5048, 5049"
119,"PARD6B, TUFT1, CEP76","84612, 7286, 79959"
120,"ANGPT1, TEK","284, 7010"
121,"DOCK4, ELMO2, ELMO1","9732, 63916, 9844"
122,"A1CF, CAVIN2","29974, 8436"
