('CDH1', 1.0545228236858928)
('CDH5', 0.8330894570462183)
('CDO1', 0.818491373115949)
('CEBPB', 0.9648992171902594)
('CENPF', 1.228113343980859)
('CETP', 0.9122226451755875)
('CFL2', 0.923562607381467)
('CFP', 0.880973366242215)
('CKS1B', 1.0910296932177284)
('CLDN12', 1.0642901615660156)
('CLDN18', 0.7360846456893042)
('CLEC14A', 0.8890765656154566)
('CLEC1A', 0.8622382808766281)
('CLIC5', 0.7867451724768574)
('CLPTM1L', 1.0420832845684291)
('CNRIP1', 0.9036038092468813)
('COL10A1', 1.3006798261883028)
('COL11A1', 1.5002738487208416)
('CORO2B', 0.8547673457473541)
('CPB2', 0.7036335332466691)
('CRABP2', 1.1970999512412204)
('CREM', 0.9387915256360964)
('CRTAC1', 0.8558052877030837)
('CST1', 1.3270007044292103)
('CST6', 0.8877283206104065)
('CSTF2', 1.0741551205612898)
('CTHRC1', 1.1950783381886594)
('CYSTM1', 0.9573293866615626)
('CYYR1', 0.8623205485354005)
('DAP', 1.0513766583807886)
('DAPK2', 0.8916423649490857)
('DENND3', 0.897113595516253)
('DEPDC1', 1.2972789234632125)
('DEPDC1B', 1.2880345521356653)
('DES', 0.8872949273941078)
('DLC1', 0.8729804912887879)
('DLG5', 1.0599014079008466)
('DLX3', 1.0785417001614797)
('DMRTA2', 1.135576430040808)
('DNAH14', 1.2046461939027349)
('DOCK4', 0.8964410419215694)
('DPEP2', 0.8543658825635149)
('DPH3', 0.9384435787081079)
('DSG2', 1.1119065225410814)
('DSP', 1.155029105423445)
('DUOX1', 0.8179871933674441)
('E2F8', 1.278654679549235)
('EDNRB', 0.8248489785170571)
('EEF1A2', 1.1343509939605045)
('EFR3A', 1.032231434844802)
('EIF2AK1', 1.0597080402215406)
('EMCN', 0.8305402723958728)
('ENC1', 1.0638542146980392)
('ENTPD3', 1.0735779740543177)
('EPAS1', 0.921282642563426)
('EPCAM', 1.0537702336988084)
('EPHX3', 1.1421731267737403)
('ESAM', 0.8761836801745861)
('ESRP1', 1.0849275602075281)
('ETV4', 1.1018505566309946)
('F12', 1.1598287358731583)
('F2RL1', 1.1116448123563578)
('FABP4', 0.7330383717319703)
('FAM107A', 0.7839801730383449)
('FAM162B', 0.8371690175900756)
('FAM167B', 0.9243816038744535)
('FAM189A2', 0.8340461015031068)
('FAM46B', 0.8580448884789087)
('FAM83A', 1.1671007078264066)
('FAM83B', 1.2634381144384592)
('FAP', 1.1545857886052822)
('FBXO32', 1.141871955130831)
('FCGR3B', 0.8665378730828316)
('FERMT1', 1.1889408447222223)
('FGD5', 0.8655060778125779)
('FGFR4', 0.836567518874756)
('FGR', 0.8728208447211027)
('FHL1', 0.8563129639503345)
('FHL5', 0.7844069508281618)
('FILIP1', 0.853075528039235)
('FLI1', 0.8798119819969243)
('FMO2', 0.8346916356167171)
('FOXF1', 0.8324525142880399)
('FPR1', 0.8957632743195649)
('FRMD3', 0.8349065884897703)
('FRY', 0.8704474540250283)
('FUT2', 1.1281028271460471)
('FUT3', 1.1133955294695241)
('FXYD6', 0.900177835849113)
('GABARAPL1', 0.9313765227531247)
('GALNT7', 1.0892880300127097)
('GATA6', 0.868187323831288)
('GCNT3', 1.2621230108489054)
('GGCT', 1.0821018205871615)
('GIMAP8', 0.8485871290634704)
('GINS1', 1.2581498807067273)
('GJB2', 1.4021432386993276)
('GKN2', 0.7229966783123449)
('GLIPR2', 0.8938938308531524)
('GMFG', 0.9141268979760369)
('GNG11', 0.8725428742334737)
('GOLM1', 1.1420736830542249)
('GPD1', 0.8858022226523281)
('GPM6A', 0.7393183589698258)
('GPR146', 0.8382437452765499)
('GPT2', 1.199922648614651)
('GPX2', 1.3041918870965923)
('GREM1', 1.4023637143960541)
('GRIA1', 0.7990736819717916)
('GRTP1', 1.138126176426156)
('GTF2IRD1', 1.0617752616226086)
('GYPC', 0.9162324966762219)
('HAS1', 0.9096007761594659)
('HGD', 1.1147519598354163)
('HHIP', 0.7696768075523333)
('HIGD1B', 0.8579657998662955)
